City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,malanje,-9.5402,16.341,63.86,98,92,1.9,AO,1735247946
1,port-aux-francais,-49.35,70.2167,41.25,83,84,42.19,TF,1735247947
2,vilyuchinsk,52.9306,158.4028,7.07,85,92,5.88,RU,1735247950
3,vorgashor,67.5833,63.95,21.79,96,100,13.42,RU,1735247952
4,aasiaat,68.7098,-52.8699,0.68,93,100,8.55,GL,1735247953
5,sitka,57.0531,-135.33,44.49,76,75,14.97,US,1735247954
6,geraldton,-28.7667,114.6,54.01,87,0,11.5,AU,1735247955
7,papatowai,-46.5619,169.4708,57.96,66,24,5.48,NZ,1735247957
8,atafu village,-8.5421,-172.5159,82.62,75,99,12.44,TK,1735247958
9,dampit,-8.2116,112.7493,71.67,98,100,3.24,ID,1735247959
10,stanley,54.868,-1.6985,37.51,96,82,2.28,GB,1735247960
11,puerto natales,-51.7236,-72.4875,57.65,41,75,24.16,CL,1735247961
12,kashgar,39.4547,75.9797,18.61,93,75,0.0,CN,1735247962
13,margaret river,-33.95,115.0667,60.49,75,94,5.12,AU,1735247963
14,nuuk,64.1835,-51.7216,7.41,66,41,19.57,GL,1735247965
15,west island,-12.1568,96.8225,78.78,94,75,10.36,CC,1735247966
16,ribeira grande,38.5167,-28.7,63.0,82,20,14.97,PT,1735247967
17,wenchang,30.904,118.4887,37.24,80,3,6.38,CN,1735247968
18,mil'kovo,55.6078,37.7956,33.35,70,100,9.28,RU,1735247969
19,edinburgh of the seven seas,-37.0676,-12.3116,58.41,68,65,17.96,SH,1735247970
20,boguchany,58.3814,97.4531,17.01,94,100,7.56,RU,1735247971
21,vadso,70.0744,29.7487,33.96,75,56,34.52,NO,1735247973
22,blackmans bay,-43.0167,147.3167,59.13,71,66,23.33,AU,1735247974
23,inirida,3.8653,-67.9239,82.11,87,96,2.8,CO,1735247975
24,albany,42.6001,-73.9662,24.64,78,6,2.26,US,1735247882
25,udachny,66.4167,112.4,-7.38,99,100,3.24,RU,1735247978
26,gadzhiyevo,69.2551,33.3362,31.12,68,57,34.14,RU,1735247979
27,at taj,24.2049,23.2857,47.7,37,9,9.31,LY,1735247980
28,okhotsk,59.3833,143.3,-0.62,85,98,9.04,RU,1735247981
29,talnakh,69.4865,88.3972,-13.41,98,87,9.51,RU,1735247982
30,al fqih ben calah,32.5009,-6.6906,56.95,29,2,3.98,MA,1735247983
31,gornopravdinsk,60.05,69.9,15.19,94,100,9.17,RU,1735247985
32,casablanca,33.5928,-7.6192,60.33,82,14,1.99,MA,1735247986
33,severo-yeniseyskiy,60.3725,93.0408,15.12,92,100,10.63,RU,1735247988
34,iqaluit,63.7506,-68.5145,-18.31,61,20,3.44,CA,1735247989
35,yellowknife,62.456,-114.3525,16.32,92,100,6.91,CA,1735247990
36,kontcha,7.9667,12.2333,72.0,23,36,1.36,CM,1735247991
37,punta arenas,-53.15,-70.9167,59.11,38,20,28.77,CL,1735247900
38,sisimiut,66.9395,-53.6735,-3.06,93,100,9.71,GL,1735247993
39,grytviken,-54.2811,-36.5092,43.3,88,100,1.77,GS,1735247994
40,chandler,33.3062,-111.8412,62.58,32,75,4.0,US,1735247996
41,saddiqabad,28.3062,70.1307,57.07,29,0,7.83,PK,1735247997
42,polyarnyy,69.1989,33.4478,31.24,68,56,33.67,RU,1735247998
43,pampas,-12.4,-74.9,53.56,70,100,8.19,PE,1735247999
44,waitangi,-43.9535,-176.5597,61.83,99,100,5.99,NZ,1735248000
45,verkhnevilyuysk,63.4453,120.3167,-8.03,100,100,2.15,RU,1735248001
46,puerto ayora,-0.7393,-90.3518,76.55,88,41,7.0,EC,1735248003
47,enewetak,11.3474,162.3373,81.52,76,73,22.64,MH,1735248004
48,ushuaia,-54.8,-68.3,51.46,66,75,20.71,AR,1735248005
49,ust-nera,64.5667,143.2,-14.4,100,100,3.15,RU,1735248006
50,laojunmiao,39.8333,97.7333,5.95,63,3,5.68,CN,1735248007
